No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
435,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,302359,2768199,1
436,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,302672,2767982,1
437,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,302838,2767885,1
438,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,302939,2767678,1
439,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,303650,2766981,1
440,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,303807,2766741,1
441,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,303879,2766588,1
442,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,12,24,新店溪,303940,2766472,1
443,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,12,24,新店溪,303940,2766472,1
444,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,12,24,新店溪,304031,2766189,1
445,粉蝶科,Pieris rapae crucivora,紋白蝶,,2015,1,11,淡水河,299774,2770134,1
446,粉蝶科,Pieris rapae crucivora,紋白蝶,,2015,1,11,新店溪,299137,2769438,1
447,粉蝶科,Pieris rapae crucivora,紋白蝶,,2015,1,11,新店溪,299761,2767383,1
448,粉蝶科,Pieris rapae crucivora,紋白蝶,,2015,1,11,新店溪,300401,2767423,1
449,粉蝶科,Pieris rapae crucivora,紋白蝶,,2015,1,11,新店溪,302024,2768307,1
450,粉蝶科,Pieris rapae crucivora,紋白蝶,,2015,1,11,新店溪,303974,2766374,1
467,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,300260,2776083,1
468,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,淡水河,300626,2775759,4
469,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,300755,2775637,1
470,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,淡水河,300755,2775637,1
471,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2015,0,0,淡水河,300894,2775459,2
472,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,301022,2775245,1
473,粉蝶科,Pieris canidia,臺灣紋白蝶,,2015,0,0,淡水河,301063,2775168,1
